old_cpp_name,section,key,default,cpp_type,special_case,notes
property_setGPS_isRTK,gps,isRTK,false,bool,,
property_setGPS_isRTK_KillAutoSteer,gps,isRTKKillAutoSteer,false,bool,,
property_setGPS_jumpFixAlarmDistance,gps,jumpFixAlarmDispance,0,double,,
property_setGPS_minimumStepLimit,gps,minimumStepLimit,0.05,double,,
property_setGPS_reverseComp,gps,reverseComp,0.3,double,,
property_setGPS_SimLatitude,gps,simLatitude,53.4360564,double,,
property_setGPS_SimLongitude,gps,simLongitude,-111.160047,double,,
property_setGPS_udpWatchMsec,gps,udpWatchMSec,50,int,,
property_setHeadland_isSectionControlled,headland,isSectionControlled,true,bool,,
property_setIMU_fusionWeight2,imu,fusionWeight2,0.06,double,,
property_setIMU_invertRoll,imu,invertRoll,false,bool,,
property_setIMU_isDualAsIMU,imu,isDualAsIMU,false,bool,,
property_setIMU_isHeadingCorrectionFromAutoSteer,imu,isHeadingCorrectionFromAutoSteer,false,bool,,
property_setIMU_isReverseOn,imu,isReverseOn,true,bool,,
property_setIMU_pitchZeroX16,imu,pitchZeroX16,0,double,,Does not appear to be used
property_setIMU_rollFilter,imu,rollFilter,0,double,,
property_setIMU_rollZero,imu,rollZero,0,double,,
property_setJobMenu_location,jobMenu,location,'QPoint(200, 200)',QPoint,,
property_setJobMenu_size,jobMenu,size,'"640, 530"',QString,,
property_setKey_hotkeys,key,hotKeys,"ACFGMNPTYVW12345678",QString,,
property_setMenu_isCompassOn,menu,isCompassOn,true,bool,,
property_setMenu_isGridOn,menu,isGridOn,true,bool,,
property_setMenu_isLightbarNotSteerBar,menu,isLightBarNotSteerBar,false,bool,,
property_setMenu_isLightbarOn,menu,isLightBarOn,true,bool,,
property_setMenu_isMetric,menu,isMetric,true,bool,,
property_setMenu_isOGLZoomOn,menu,isOGLZoom,false,bool,,
property_setMenu_isPureOn,menu,isPureOn,true,bool,,
property_setMenu_isSideGuideLines,menu,isSideGuideLines,false,bool,,
property_setMenu_isSimulatorOn,menu,isSimulatorOn,true,bool,,
property_setMenu_isSkyOn,menu,isSkyOn,true,bool,,
property_setMenu_isSpeedoOn,menu,isSpeedoOn,false,bool,,
property_setRelay_pinConfig,relay,pinConfig,'QVector<int>{ 1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 }',METATYPE_QVECTOR_INT,,
property_setSection_isFast,section,isFast,false,bool,,
property_setSection_position1,section,position1,-2,double,,
property_setSection_position10,section,position10,0,double,,
property_setSection_position11,section,position11,0,double,,
property_setSection_position12,section,position12,0,double,,
property_setSection_position13,section,position13,0,double,,
